# PUE and WUE published by AWS, one row per region and year.
# Source: https://sustainability.aboutamazon.com/products-services/aws-cloud (retrieved 2026-08-26)
# The downloadable https://sustainability.aboutamazon.com/aws-wue-pue.csv only goes up to
# 2024, so the figures below are taken from the tables on the page itself.
#
# Lookup order: exact RegionID, then the geography-level average whose regex matches the
# region id, then the GLOBAL average. Within a tier the row for the usage year is used,
# falling back to the closest year available. An empty PUE or WUE means AWS published no
# figure for that region and year. The GLOBAL WUE for 2022 and 2023 comes from the
# downloadable CSV, which is the only place AWS published it.
#
# Geography,RegionID,Year,PUE,WUE
Global,GLOBAL,2022,1.15,0.19
Global,GLOBAL,2023,1.15,0.18
Global,GLOBAL,2024,1.15,0.15
Global,GLOBAL,2025,1.14,0.12
Europe,eu-.+,2022,1.11,
Europe,eu-.+,2023,1.11,
Europe,eu-.+,2024,1.11,0.04
Europe,eu-.+,2025,1.11,0.05
Middle East,(me|il)-.+,2022,1.38,
Middle East,(me|il)-.+,2023,1.33,
Middle East,(me|il)-.+,2024,1.31,
Middle East,(me|il)-.+,2025,1.29,
Africa,af-.+,2022,1.36,
Africa,af-.+,2023,1.24,
Africa,af-.+,2024,1.24,
Africa,af-.+,2025,1.19,
North America,(us|ca|mx)-.+,2022,1.14,
North America,(us|ca|mx)-.+,2023,1.14,
North America,(us|ca|mx)-.+,2024,1.14,0.13
North America,(us|ca|mx)-.+,2025,1.14,0.08
Central/South America,sa-.+,2023,1.18,
Central/South America,sa-.+,2024,1.17,0.23
Central/South America,sa-.+,2025,1.14,0.09
Asia Pacific (excl. China),ap-.+,2022,1.26,
Asia Pacific (excl. China),ap-.+,2023,1.28,
Asia Pacific (excl. China),ap-.+,2024,1.27,0.98
Asia Pacific (excl. China),ap-.+,2025,1.25,1.1
China,cn-.+,2022,1.28,
China,cn-.+,2023,1.26,
China,cn-.+,2024,1.25,
China,cn-.+,2025,1.25,
Europe (Frankfurt),eu-central-1,2022,1.32,
Europe (Frankfurt),eu-central-1,2023,1.33,
Europe (Frankfurt),eu-central-1,2024,1.35,0.01
Europe (Frankfurt),eu-central-1,2025,1.24,0.17
Europe (Ireland),eu-west-1,2022,1.1,
Europe (Ireland),eu-west-1,2023,1.1,
Europe (Ireland),eu-west-1,2024,1.11,0.03
Europe (Ireland),eu-west-1,2025,1.1,0.02
Europe (London),eu-west-2,2025,1.23,0.14
Europe (Paris),eu-west-3,2025,1.35,
Europe (Spain),eu-south-2,2023,1.11,
Europe (Spain),eu-south-2,2024,1.07,0.24
Europe (Spain),eu-south-2,2025,1.06,0.12
Europe (Stockholm),eu-north-1,2022,1.12,
Europe (Stockholm),eu-north-1,2023,1.12,
Europe (Stockholm),eu-north-1,2024,1.1,0.02
Europe (Stockholm),eu-north-1,2025,1.09,0.02
Middle East (Bahrain),me-south-1,2022,1.38,
Middle East (Bahrain),me-south-1,2023,1.32,
Middle East (Bahrain),me-south-1,2024,1.33,
Middle East (Bahrain),me-south-1,2025,1.33,
Middle East (Tel Aviv),il-central-1,2025,1.27,
Middle East (UAE),me-central-1,2023,1.36,
Middle East (UAE),me-central-1,2024,1.27,
Middle East (UAE),me-central-1,2025,1.25,
Africa (Cape Town),af-south-1,2022,1.36,
Africa (Cape Town),af-south-1,2023,1.24,
Africa (Cape Town),af-south-1,2024,1.24,
Africa (Cape Town),af-south-1,2025,1.19,
Asia-Pacific (Bangkok),ap-southeast-7,2025,1.38,
Asia-Pacific (Hyderabad),ap-south-2,2023,1.5,
Asia-Pacific (Hyderabad),ap-south-2,2024,1.46,
Asia-Pacific (Hyderabad),ap-south-2,2025,1.43,
Asia-Pacific (Jakarta),ap-southeast-3,2022,1.39,
Asia-Pacific (Jakarta),ap-southeast-3,2023,1.35,
Asia-Pacific (Jakarta),ap-southeast-3,2024,1.4,2.75
Asia-Pacific (Jakarta),ap-southeast-3,2025,1.29,2.85
Asia-Pacific (Melbourne),ap-southeast-4,2024,,0.02
Asia-Pacific (Melbourne),ap-southeast-4,2025,1.07,0.06
Asia-Pacific (Mumbai),ap-south-1,2022,1.43,
Asia-Pacific (Mumbai),ap-south-1,2023,1.44,
Asia-Pacific (Mumbai),ap-south-1,2024,1.42,
Asia-Pacific (Mumbai),ap-south-1,2025,1.4,
Asia-Pacific (Osaka),ap-northeast-3,2025,1.46,
Asia-Pacific (Singapore),ap-southeast-1,2022,1.33,
Asia-Pacific (Singapore),ap-southeast-1,2023,1.3,
Asia-Pacific (Singapore),ap-southeast-1,2024,1.32,1.68
Asia-Pacific (Singapore),ap-southeast-1,2025,1.3,1.57
Asia-Pacific (Sydney),ap-southeast-2,2024,,0.12
Asia-Pacific (Sydney),ap-southeast-2,2025,1.14,0.1
Asia-Pacific (Tokyo),ap-northeast-1,2022,1.3,
Asia-Pacific (Tokyo),ap-northeast-1,2023,1.32,
Asia-Pacific (Tokyo),ap-northeast-1,2024,1.27,0.91
Asia-Pacific (Tokyo),ap-northeast-1,2025,1.25,1.22
China (Ningxia),cn-northwest-1,2022,1.28,
China (Ningxia),cn-northwest-1,2023,1.26,
China (Ningxia),cn-northwest-1,2024,1.25,
China (Ningxia),cn-northwest-1,2025,1.25,
South America (Sao Paulo),sa-east-1,2023,1.18,
South America (Sao Paulo),sa-east-1,2024,1.17,0.23
South America (Sao Paulo),sa-east-1,2025,1.14,0.09
U.S. East (Northern Virginia),us-east-1,2022,1.16,
U.S. East (Northern Virginia),us-east-1,2023,1.15,
U.S. East (Northern Virginia),us-east-1,2024,1.15,0.12
U.S. East (Northern Virginia),us-east-1,2025,1.15,0.06
U.S. East (Ohio),us-east-2,2022,1.12,
U.S. East (Ohio),us-east-2,2023,1.12,
U.S. East (Ohio),us-east-2,2024,1.13,0.1
U.S. East (Ohio),us-east-2,2025,1.12,0.06
U.S. West (Northern California),us-west-1,2022,1.17,
U.S. West (Northern California),us-west-1,2023,1.17,
U.S. West (Northern California),us-west-1,2024,1.18,0.51
U.S. West (Northern California),us-west-1,2025,1.18,0.39
U.S. West (Oregon),us-west-2,2022,1.13,
U.S. West (Oregon),us-west-2,2023,1.13,
U.S. West (Oregon),us-west-2,2024,1.12,0.16
U.S. West (Oregon),us-west-2,2025,1.12,0.12
Canada (Central),ca-central-1,2022,1.26,
Canada (Central),ca-central-1,2023,1.22,
Canada (Central),ca-central-1,2024,1.19,0.04
Canada (Central),ca-central-1,2025,1.19,0.06
Canada (West),ca-west-1,2024,1.17,0.08
Canada (West),ca-west-1,2025,1.13,0.04
