# instance_type, electricity_consumption_kwh, embodied_emissions_gco2eq, embodied_adp_gsbeq
d2ads_v5, 0.0020555572000000005, 0.5, 5.4E-5
d4ads_v5, 0.00416667, 1.0, 1.07E-4
d8ads_v5, 0.00833334, 2.0, 2.1E-4
d16ads_v5, 0.016388902, 4.0, 4.3E-4
d32ads_v5, 0.03333336, 8.0, 8.6E-4
d48ads_v5, 0.05000004, 12.0, 0.00129
d64ads_v5, 0.06666672, 16.0, 0.0017000000000000001
d96ads_v5, 0.0972223, 24.0, 0.0026
d2as_v4, 0.0020555572000000005, 0.45, 5.2000000000000004E-5
d4as_v4, 0.00416667, 0.9, 1.0400000000000001E-4
d8as_v4, 0.00833334, 1.8, 2.1E-4
d16as_v4, 0.016388902, 3.6, 4.2E-4
d32as_v4, 0.03333336, 7.2, 8.3E-4
d48as_v4, 0.05000004, 11.0, 0.00125
d64as_v4, 0.06666672, 14.0, 0.0017000000000000001
d96as_v4, 0.0972223, 22.0, 0.0025
standard_d16as_v4, 0.017500014, 3.7, 4.7E-4
standard_d2as_v4, 0.0021666684, 0.46, 5.8E-5
standard_d32as_v4, 0.03611114000000001, 7.3, 9.299999999999999E-4
standard_d48as_v4, 0.05277782, 11.0, 0.0014
standard_d4as_v4, 0.004444448, 0.9, 1.16E-4
standard_d64as_v4, 0.0694445, 15.0, 0.0019
standard_d8as_v4, 0.008611118000000001, 1.8, 2.3E-4
standard_d96as_v4, 0.10555564, 22.0, 0.0028
d2as_v5, 0.0020555572000000005, 0.44, 5.2000000000000004E-5
d4as_v5, 0.00416667, 0.87, 1.03E-4
d8as_v5, 0.00833334, 1.7, 2.1E-4
d16as_v5, 0.016388902, 3.5, 4.1E-4
d32as_v5, 0.03333336, 7.0, 8.3E-4
d48as_v5, 0.05000004, 10.0, 0.00124
d64as_v5, 0.06666672, 14.0, 0.0017000000000000001
d96as_v5, 0.0972223, 21.0, 0.0025
standard_dc1s_v2, 0.0020555572000000005, 0.69, 1.33E-4
standard_dc2s_v2, 0.00416667, 1.4, 2.7E-4
standard_dc4s_v2, 0.00833334, 2.7, 5.3E-4
dc8_v2, 0.016388902, 5.5, 0.00106
dc2ads_v5, 0.0020555572000000005, 0.5, 5.4E-5
dc4ads_v5, 0.00416667, 1.0, 1.07E-4
dc8ads_v5, 0.00833334, 2.0, 2.1E-4
dc16ads_v5, 0.016388902, 4.0, 4.3E-4
dc32ads_v5, 0.03333336, 8.0, 8.6E-4
dc48ads_v5, 0.05000004, 12.0, 0.00129
dc64ads_v5, 0.06666672, 16.0, 0.0017000000000000001
dc96ads_v5, 0.0972223, 24.0, 0.0026
dc2as_v5, 0.0020555572000000005, 0.44, 5.2000000000000004E-5
dc4as_v5, 0.00416667, 0.87, 1.03E-4
dc8as_v5, 0.00833334, 1.7, 2.1E-4
dc16as_v5, 0.016388902, 3.5, 4.1E-4
dc32as_v5, 0.03333336, 7.0, 8.3E-4
dc48as_v5, 0.05000004, 10.0, 0.00124
dc64as_v5, 0.06666672, 14.0, 0.0017000000000000001
dc96as_v5, 0.0972223, 21.0, 0.0025
dc16ds_v3, 0.03333336, 9.0, 0.0011200000000000001
dc24ds_v3, 0.04722226000000001, 13.0, 0.00168
dc32ds_v3, 0.06388894, 18.0, 0.0022
dc48ds_v3, 0.0972223, 25.0, 0.0033
dc1s_v3, 0.0020000016, 0.49, 6.8E-5
dc2s_v3, 0.0038888920000000006, 0.98, 1.36E-4
dc4s_v3, 0.008055562, 2.0, 2.7E-4
dc8s_v3, 0.016111124, 3.9, 5.4E-4
dc16s_v3, 0.03333336, 7.8, 0.00108
dc24s_v3, 0.04722226000000001, 12.0, 0.0016300000000000002
d2ds_v4, 0.003055558, 0.51, 5.9999999999999995E-5
d4ds_v4, 0.006388894000000001, 1.0, 1.1999999999999999E-4
d8ds_v4, 0.012777788000000002, 2.0, 2.3999999999999998E-4
d16ds_v4, 0.02500002, 4.1000000000000005, 4.7999999999999996E-4
d32ds_v4, 0.05000004, 8.0, 9.599999999999999E-4
d48ds_v4, 0.07500006000000001, 12.0, 0.0014399999999999999
d64ds_v4, 0.10277786000000001, 16.0, 0.0019
e2bds_v5, 0.0038888920000000006, 0.8, 8.4E-5
e4bds_v5, 0.008055562, 1.7, 1.67E-4
e8bds_v5, 0.016111124, 3.3, 3.3E-4
e16bds_v5, 0.03333336, 6.6, 6.7E-4
e32bds_v5, 0.06388894, 13.0, 0.00134
e48bds_v5, 0.0972223, 20.0, 0.002
e64bds_v5, 0.12777788, 27.0, 0.0027
e2bs_v5, 0.0038888920000000006, 0.7699999999999999, 8.2E-5
e4bs_v5, 0.008055562, 1.5, 1.6299999999999998E-4
e8bs_v5, 0.016111124, 3.1, 3.3E-4
e16bs_v5, 0.03333336, 6.1000000000000005, 6.5E-4
e32bs_v5, 0.06388894, 12.0, 0.0013
e48bs_v5, 0.0972223, 18.0, 0.002
e64bs_v5, 0.12777788, 25.0, 0.0026
ec2ads_v5, 0.0028888912000000003, 0.8, 7.8E-5
ec4ads_v5, 0.005833338000000001, 1.6, 1.55E-4
ec8ads_v5, 0.011666676000000003, 3.3, 3.1E-4
ec16ads_v5, 0.023055574000000002, 6.5, 6.2E-4
ec20ads_v5, 0.028888912000000003, 8.0, 7.800000000000001E-4
ec32ads_v5, 0.04722226000000001, 13.0, 0.00124
ec48ads_v5, 0.0694445, 20.0, 0.0019
ec64ads_v5, 0.09166674000000001, 26.0, 0.0025
ec96ads_v5, 0.12777788, 34.0, 0.0034000000000000002
ec2as_v5, 0.0028888912000000003, 0.76, 7.5E-5
ec4as_v5, 0.005833338000000001, 1.5, 1.5099999999999998E-4
ec8as_v5, 0.011666676000000003, 3.0, 3.0E-4
ec16as_v5, 0.023055574000000002, 6.0, 6.0E-4
ec20as_v5, 0.028888912000000003, 7.6, 7.5E-4
