# instance_type, electricity_consumption_kwh, embodied_emissions_gco2eq, embodied_adp_gSbeq
a1.2xlarge, 0.007222228000000001, 4.3, 9.4E-4
a1.4xlarge, 0.014444456000000001, 8.6, 0.0019
a1.large, 0.0018055570000000002, 1.08, 2.3999999999999998E-4
a1.medium, 8.888896000000001E-4, 0.54, 1.18E-4
a1.metal, 0.014444456000000001, 8.6, 0.0019
a1.xlarge, 0.0036111140000000003, 2.2, 4.7E-4
c1.medium, 0.002500002, 0.9, 1.41E-4
c1.xlarge, 0.009444452, 3.6, 5.600000000000001E-4
c3.2xlarge, 0.014166678, 3.0, 7.0E-4
c3.4xlarge, 0.027777800000000005, 5.8999999999999995, 0.0014
c3.8xlarge, 0.058333380000000004, 11.799999999999999, 0.0028
c3.large, 0.0036111140000000003, 0.73, 1.74E-4
c3.xlarge, 0.007222228000000001, 1.4, 3.3999999999999997E-4
c4.2xlarge, 0.016388902, 2.8, 6.9E-4
c4.2xlarge.elasticsearch, 0.016388902, 2.8, 6.9E-4
c4.4xlarge, 0.03333336, 5.6, 0.00138
c4.4xlarge.elasticsearch, 0.03333336, 5.6, 0.00138
c4.8xlarge, 0.07222228000000001, 11.9, 0.003
c4.8xlarge.elasticsearch, 0.07222228000000001, 11.9, 0.003
c4.large, 0.00416667, 0.7, 1.73E-4
c4.large.elasticsearch, 0.00416667, 0.7, 1.73E-4
c4.xlarge, 0.00833334, 1.39, 3.5E-4
c4.xlarge.elasticsearch, 0.00833334, 1.39, 3.5E-4
c5.12xlarge, 0.07777784000000001, 7.8, 0.00137
c5.18xlarge, 0.14722234, 13.0, 0.0026
c5.18xlarge.elasticsearch, 0.14722234, 13.0, 0.0026
c5.24xlarge, 0.15277790000000002, 16.0, 0.0027
c5.2xlarge, 0.016388902, 1.5, 2.9E-4
c5.2xlarge.elasticsearch, 0.016388902, 1.5, 2.9E-4
c5.4xlarge, 0.03333336, 3.0, 5.8E-4
c5.4xlarge.elasticsearch, 0.03333336, 3.0, 5.8E-4
c5.9xlarge, 0.07500006000000001, 6.7, 0.0013
c5.9xlarge.elasticsearch, 0.07500006000000001, 6.7, 0.0013
c5a.12xlarge, 0.05000004, 7.7, 0.0011799999999999998
c5a.16xlarge, 0.06388894, 10.200000000000001, 0.0015999999999999999
c5a.24xlarge, 0.0972223, 15.0, 0.0024
c5a.2xlarge, 0.008055562, 1.3, 1.9999999999999998E-4
c5a.4xlarge, 0.016388902, 2.6, 3.9000000000000005E-4
c5a.8xlarge, 0.03333336, 5.1000000000000005, 7.899999999999999E-4
