# Per-1k-output-token impact coefficients sourced from the EcoLogits public API.
# Regenerated by com.digitalpebble.spruce.modules.ecologits.EcoLogitsCoefficientsGenerator
# source_api_version=v1beta
# generated_at=2026-08-22T08:03:20.587788516Z
provider,model_name,energy_kwh,gwp_embodied_kgco2eq,adpe_embodied_kgsbeq
anthropic,claude-haiku-4-5,1.597178e-04,4.796451e-06,2.686597e-10
anthropic,claude-haiku-4-5-20251001,1.597178e-04,4.796451e-06,2.686597e-10
anthropic,claude-opus-4-0,3.096563e-02,6.758654e-04,3.785669e-08
anthropic,claude-opus-4-1,3.189195e-02,8.790065e-04,4.923507e-08
anthropic,claude-opus-4-1-20250805,3.189195e-02,8.790065e-04,4.923507e-08
anthropic,claude-opus-4-20250514,3.096563e-02,6.758654e-04,3.785669e-08
anthropic,claude-opus-4-5,6.269749e-03,1.396486e-04,7.822020e-09
anthropic,claude-opus-4-5-20251101,6.269749e-03,1.396486e-04,7.822020e-09
anthropic,claude-opus-4-6,6.326856e-03,1.521720e-04,8.523486e-09
anthropic,claude-opus-4-7,6.175807e-03,1.190471e-04,6.668088e-09
anthropic,claude-opus-4-8,6.081147e-03,9.828843e-05,5.505349e-09
anthropic,claude-sonnet-4-0,2.415319e-03,6.690749e-05,3.747634e-09
anthropic,claude-sonnet-4-20250514,2.415319e-03,6.690749e-05,3.747634e-09
anthropic,claude-sonnet-4-5,2.494803e-03,8.433828e-05,4.723971e-09
anthropic,claude-sonnet-4-5-20250929,2.494803e-03,8.433828e-05,4.723971e-09
anthropic,claude-sonnet-4-6,2.415581e-03,6.696508e-05,3.750860e-09
cohere,c4ai-aya-expanse-32b,9.112189e-05,6.169179e-06,3.455491e-10
cohere,c4ai-aya-vision-32b,9.161842e-05,6.169179e-06,3.455491e-10
cohere,command-a-03-2025,5.598717e-04,2.467671e-05,1.382196e-09
cohere,command-a-plus-05-2026,1.651029e-03,4.935343e-05,2.764393e-09
cohere,command-a-reasoning-08-2025,5.598717e-04,2.467671e-05,1.382196e-09
cohere,command-a-translate-08-2025,5.598717e-04,2.467671e-05,1.382196e-09
cohere,command-a-vision-07-2025,5.623543e-04,2.467671e-05,1.382196e-09
cohere,command-r-08-2024,7.935160e-05,3.469571e-06,1.943382e-10
cohere,command-r-plus-08-2024,5.178498e-04,1.902457e-05,1.065607e-09
cohere,command-r7b-12-2024,6.223360e-05,2.998343e-06,1.679437e-10
cohere,command-r7b-arabic-02-2025,7.605844e-05,6.169179e-06,3.455491e-10
google_genai,gemini-2.0-flash,2.205918e-03,4.317676e-05,2.418424e-09
google_genai,gemini-2.0-flash-001,2.205918e-03,4.317676e-05,2.418424e-09
google_genai,gemini-2.0-flash-lite,6.893634e-05,1.692869e-06,9.482130e-11
google_genai,gemini-2.0-flash-lite-001,6.893634e-05,1.692869e-06,9.482130e-11
google_genai,gemini-2.5-flash,2.205918e-03,4.317676e-05,2.418424e-09
google_genai,gemini-2.5-flash-image,2.171052e-03,3.518007e-05,1.970512e-09
google_genai,gemini-2.5-flash-lite,6.893634e-05,1.692869e-06,9.482130e-11
google_genai,gemini-2.5-pro,2.727114e-02,1.400074e-04,7.842121e-09
google_genai,gemini-3-flash-preview,3.853726e-03,3.846823e-05,2.154689e-09
google_genai,gemini-3-pro-image-preview,1.896200e-02,4.207911e-04,2.356942e-08
google_genai,gemini-3-pro-preview,1.794570e-02,1.876941e-04,1.051315e-08
google_genai,gemini-3.1-flash-image-preview,1.828870e-02,2.663640e-04,1.491962e-08
google_genai,gemini-3.1-flash-lite,4.661838e-04,6.605151e-06,3.699689e-10
google_genai,gemini-3.1-flash-lite-preview,4.734373e-04,8.268803e-06,4.631537e-10
google_genai,gemini-3.1-pro-preview,1.794570e-02,1.876941e-04,1.051315e-08
google_genai,gemini-3.1-pro-preview-customtools,1.712736e-02,1.041667e-09,5.834602e-14
google_genai,gemini-3.5-flash,6.415983e-03,5.404671e-05,3.027274e-09
google_genai,gemini-flash-latest,2.161875e-03,3.307521e-05,1.852615e-09
google_genai,gemini-flash-lite-latest,6.891929e-05,1.688960e-06,9.460230e-11
google_genai,gemini-pro-latest,2.666071e-02,1.041667e-09,5.834602e-14
google_genai,gemma-4-26b-a4b-it,5.846091e-05,2.706732e-06,1.516100e-10
google_genai,gemma-4-31b-it,6.341748e-05,1.627604e-11,9.116565e-16
huggingface_hub,CohereForAI/aya-23-35B,1.378202e-04,3.255208e-11,1.823313e-15
huggingface_hub,CohereForAI/aya-23-8B,5.141598e-05,1.627604e-11,9.116565e-16
huggingface_hub,CohereForAI/c4ai-command-r-plus,4.543593e-04,6.510417e-11,3.646626e-15
huggingface_hub,CohereForAI/c4ai-command-r-plus-4bit,1.638763e-04,3.255208e-11,1.823313e-15
huggingface_hub,CohereForAI/c4ai-command-r-v01,1.378202e-04,3.255208e-11,1.823313e-15
huggingface_hub,CohereForAI/c4ai-command-r-v01-4bit,5.856942e-05,1.627604e-11,9.116565e-16
huggingface_hub,databricks/dbrx-base,2.782888e-04,6.510417e-11,3.646626e-15
huggingface_hub,databricks/dbrx-instruct,2.782888e-04,6.510417e-11,3.646626e-15
huggingface_hub,databricks/dolly-v1-6b,5.009825e-05,1.627604e-11,9.116565e-16
huggingface_hub,databricks/dolly-v2-12b,5.399304e-05,1.627604e-11,9.116565e-16
huggingface_hub,databricks/dolly-v2-3b,4.815085e-05,1.627604e-11,9.116565e-16
huggingface_hub,databricks/dolly-v2-7b,5.074738e-05,1.627604e-11,9.116565e-16
huggingface_hub,google/codegemma-1.1-2b,4.783278e-05,1.627604e-11,9.116565e-16
huggingface_hub,google/codegemma-1.1-2b-GGUF,4.750172e-05,1.627604e-11,9.116565e-16
huggingface_hub,google/codegemma-1.1-2b-pytorch,4.750172e-05,1.627604e-11,9.116565e-16
huggingface_hub,google/codegemma-1.1-7b-it,5.174704e-05,1.627604e-11,9.116565e-16
huggingface_hub,google/codegemma-1.1-7b-it-GGUF,5.074738e-05,1.627604e-11,9.116565e-16
huggingface_hub,google/codegemma-1.1-7b-it-pytorch,5.074738e-05,1.627604e-11,9.116565e-16
huggingface_hub,google/codegemma-2b,4.783278e-05,1.627604e-11,9.116565e-16
huggingface_hub,google/codegemma-2b-GGUF,4.750172e-05,1.627604e-11,9.116565e-16
huggingface_hub,google/codegemma-2b-keras,4.750172e-05,1.627604e-11,9.116565e-16
huggingface_hub,google/codegemma-2b-pytorch,4.750172e-05,1.627604e-11,9.116565e-16
huggingface_hub,google/codegemma-7b,5.174704e-05,1.627604e-11,9.116565e-16
huggingface_hub,google/codegemma-7b-GGUF,5.074738e-05,1.627604e-11,9.116565e-16
huggingface_hub,google/codegemma-7b-it,5.174704e-05,1.627604e-11,9.116565e-16
huggingface_hub,google/codegemma-7b-it-GGUF,5.074738e-05,1.627604e-11,9.116565e-16
