# zone_id,lifecycle
AE,382.92
AF,121.41
AG,663.05
AL,103.19
AM,212.56
AO,177.15
AR,380.04
AT,124.40
AU,488.85
AU-NSW,541.41
AU-NT,494.57
AU-QLD,581.00
AU-SA,184.09
AU-TAS,132.76
AU-TAS-FI,260.15
AU-TAS-KI,451.91
AU-VIC,496.25
AU-WA,395.13
AU-WA-RI,519.94
AW,573.38
AX,18.87
AZ,437.51
BA,482.99
BB,638.06
BD,620.86
BE,153.19
BF,576.59
BG,350.13
BH,487.88
BI,238.99
BJ,508.29
BN,566.34
BO,333.33
BR,91.48
BR-CS,102.10
BR-N,133.04
BR-NE,44.70
BR-S,78.31
BS,691.48
BT,114.59
BW,811.22
BY,310.85
BZ,165.61
CA,131.98
CA-AB,402.02
CA-BC,70.43
CA-MB,54.71
CA-NB,153.69
CA-NL,26.80
CA-NS,396.27
CA-NT,104.44
CA-NU,648.92
CA-ON,90.97
CA-PE,70.25
CA-QC,35.04
CA-SK,487.72
CA-YT,215.41
CD,24.65
CF,24.00
CG,398.49
CH,41.07
CI,389.44
CL-SEN,235.86
CM,159.55
CN,513.51
CO,90.10
CR,94.09
CU,606.67
CV,486.77
CW,494.10
CY,686.47
CZ,480.56
DE,333.78
DJ,449.72
DK,123.73
DK-BHM,58.53
DK-DK1,120.25
DK-DK2,130.74
DM,611.16
DO,562.77
DZ,487.33
EC,231.84
EE,291.47
EG,450.72
ER,633.47
ES,124.09
ES-CE,649.21
ES-CN-FV,753.61
ES-CN-GC,697.38
ES-CN-HI,503.73
ES-CN-IG,861.68
ES-CN-LP,842.60
ES-CN-LZ,827.84
ES-CN-TE,763.09
ES-IB-FO,605.05
ES-IB-IZ,479.32
ES-IB-MA,381.05
ES-IB-ME,796.17
ES-ML,618.95
ET,23.76
FI,75.71
FJ,290.30
FK,700.00
FM,614.98
FO,398.18
FO-MI,396.29
FO-SI,421.45
FR,33.45
FR-COR,491.97
GA,293.47
GB,175.03
GB-NIR,308.52
GB-ORK,64.31
GE,161.01
GF,409.90
GH,326.60
GI,490.00
GL,103.30
GM,700.00
GN,190.36
GP,532.64
GQ,348.59
GR,325.59
GS,23.83
GT,370.29
GU,639.16
