# https://www.wri.org/data/dataset-guidance-calculating-water-use-embedded-purchased-electricity
# Licensed under Creative Commons
# zone_id,water_consumption_factor(l/kWh)
AE,
AT,5.72
AU-NSW,4.73
AU-VIC,4.73
BE,2.62
BH,
BR-CS,18.6
CA-ON,8.17
CA-QC,8.17
CH,5.66
CL-SEN,10.52
DE,1.95
DK-DK2,3.19
ES,6.21
FI,4.53
FR,3.67
GB,2.33
GR,5.15
HK,
ID,2.26
IE,1.48
IL,
IN-NO,3.44
IN-SO,3.44
IN-WE,3.44
IT-NO,4.84
JP-KN,2.31
JP-TK,2.31
KR,1.89
MX,5.3
NL,3.43
NZ,14.97
PL,2.51
SA,
SE,6.03
SG,1.68
TW,1.49
US-CAL-CISO,5.19
US-CAR-SC,2.37
US-MIDA-PJM,2.31
US-MIDW-MISO,3.06
US-NW-BPAT,9.48
US-NW-NEVP,9.48
US-NW-PACE,9.48
US-SE-SOCO,2.29
US-TEX-ERCO,1.27
ZA,
