# https://ember-energy.org/creative-commons/
# Creative Commons Attribution Licence (CC-BY-4.0)
#provider,region,year,gCO2_per_kWh
aws,ap-southeast-4,2022,578.01
aws,ap-southeast-4,2023,556.85
aws,ap-southeast-4,2024,554.01
aws,ap-southeast-4,2025,524.59
aws,ap-southeast-2,2022,578.01
aws,ap-southeast-2,2023,556.85
aws,ap-southeast-2,2024,554.01
aws,ap-southeast-2,2025,524.59
aws,me-south-1,2022,902.75
aws,me-south-1,2023,902.59
aws,me-south-1,2024,902.24
aws,sa-east-1,2022,103.39
aws,sa-east-1,2023,96.26
aws,sa-east-1,2024,106.06
aws,sa-east-1,2025,109.95
aws,ca-west-1,2022,160.69
aws,ca-west-1,2023,174.43
aws,ca-west-1,2024,185.41
aws,ca-west-1,2025,190.73
aws,ca-central-1,2022,160.69
aws,ca-central-1,2023,174.43
aws,ca-central-1,2024,185.41
aws,ca-central-1,2025,190.73
aws,cn-north-1,2022,586.86
aws,cn-north-1,2023,583.25
aws,cn-north-1,2024,556.27
aws,cn-north-1,2025,526.19
aws,ap-east-1,2022,586.86
aws,ap-east-1,2023,583.25
aws,ap-east-1,2024,556.27
aws,ap-east-1,2025,526.19
aws,cn-northwest-1,2022,586.86
aws,cn-northwest-1,2023,583.25
aws,cn-northwest-1,2024,556.27
aws,cn-northwest-1,2025,526.19
aws,eu-west-3,2022,78.55
aws,eu-west-3,2023,53.26
aws,eu-west-3,2024,40.49
aws,eu-west-3,2025,41.45
aws,eu-central-1,2022,419.74
aws,eu-central-1,2023,363.59
aws,eu-central-1,2024,337.12
aws,eu-central-1,2025,329.65
aws,ap-south-2,2022,655.89
aws,ap-south-2,2023,710.49
aws,ap-south-2,2024,679.88
aws,ap-south-1,2022,658.3
aws,ap-south-1,2023,663.23
aws,ap-south-1,2024,658.97
aws,ap-southeast-3,2022,676.05
aws,ap-southeast-3,2023,681.03
aws,ap-southeast-3,2024,681.11
aws,eu-west-1,2022,331.16
aws,eu-west-1,2023,282.5
aws,eu-west-1,2024,270.91
aws,eu-west-1,2025,255.9
aws,il-central-1,2022,583.32
aws,il-central-1,2023,558.83
aws,il-central-1,2024,540.55
aws,il-central-1,2025,492.69
aws,eu-south-1,2022,377.84
aws,eu-south-1,2023,323.3
aws,eu-south-1,2024,281.43
