# https://ember-energy.org/creative-commons/
# Creative Commons Attribution Licence (CC-BY-4.0)
#provider,region,month,gCO2_per_kWh
aws,ap-southeast-4,1999-01,890.57
aws,ap-southeast-4,1999-02,895.06
aws,ap-southeast-4,1999-03,903.0
aws,ap-southeast-4,1999-04,901.45
aws,ap-southeast-4,1999-05,905.14
aws,ap-southeast-4,1999-06,908.52
aws,ap-southeast-4,1999-07,903.49
aws,ap-southeast-4,1999-08,904.37
aws,ap-southeast-4,1999-09,907.54
aws,ap-southeast-4,1999-10,904.0
aws,ap-southeast-4,1999-11,902.39
aws,ap-southeast-4,1999-12,903.55
aws,ap-southeast-4,2000-01,899.43
aws,ap-southeast-4,2000-02,888.89
aws,ap-southeast-4,2000-03,896.93
aws,ap-southeast-4,2000-04,907.38
aws,ap-southeast-4,2000-05,905.12
aws,ap-southeast-4,2000-06,896.76
aws,ap-southeast-4,2000-07,895.15
aws,ap-southeast-4,2000-08,893.7
aws,ap-southeast-4,2000-09,895.27
aws,ap-southeast-4,2000-10,899.86
aws,ap-southeast-4,2000-11,913.71
aws,ap-southeast-4,2000-12,915.27
aws,ap-southeast-4,2001-01,903.27
aws,ap-southeast-4,2001-02,903.94
aws,ap-southeast-4,2001-03,905.18
aws,ap-southeast-4,2001-04,912.31
aws,ap-southeast-4,2001-05,894.84
aws,ap-southeast-4,2001-06,899.8
aws,ap-southeast-4,2001-07,907.87
aws,ap-southeast-4,2001-08,910.03
aws,ap-southeast-4,2001-09,905.51
aws,ap-southeast-4,2001-10,897.78
aws,ap-southeast-4,2001-11,908.51
aws,ap-southeast-4,2001-12,904.63
aws,ap-southeast-4,2002-01,907.24
aws,ap-southeast-4,2002-02,903.13
aws,ap-southeast-4,2002-03,914.34
aws,ap-southeast-4,2002-04,921.32
aws,ap-southeast-4,2002-05,909.69
aws,ap-southeast-4,2002-06,908.14
aws,ap-southeast-4,2002-07,901.9
aws,ap-southeast-4,2002-08,909.55
aws,ap-southeast-4,2002-09,902.78
aws,ap-southeast-4,2002-10,900.95
aws,ap-southeast-4,2002-11,911.64
aws,ap-southeast-4,2002-12,908.3
aws,ap-southeast-4,2003-01,894.16
aws,ap-southeast-4,2003-02,896.26
aws,ap-southeast-4,2003-03,900.4
aws,ap-southeast-4,2003-04,909.73
aws,ap-southeast-4,2003-05,904.17
aws,ap-southeast-4,2003-06,901.88
aws,ap-southeast-4,2003-07,897.2
aws,ap-southeast-4,2003-08,892.84
aws,ap-southeast-4,2003-09,895.83
aws,ap-southeast-4,2003-10,897.42
aws,ap-southeast-4,2003-11,901.99
aws,ap-southeast-4,2003-12,905.78
aws,ap-southeast-4,2004-01,919.44
aws,ap-southeast-4,2004-02,907.86
aws,ap-southeast-4,2004-03,916.61
aws,ap-southeast-4,2004-04,913.31
aws,ap-southeast-4,2004-05,911.73
