# product_sku,operational_energy_kwh, dummy, dummy
ZH8KU2QB7FHAJJXW,0.01444,0.0,0.0
RUFVJ4KVTVSSSHEU,0.00722,0.0,0.0
RCJZ7PSFBQHVM8R8,0.0015,0.0,0.0
R3JWPWRUN558WBDE,0.00257,0.0,0.0
UERKGVWBVSH74CE5,0.0015,0.0,0.0
GBSWCG32FV9G4PVY,0.0015,0.0,0.0
AND8AUPCT9JY2HWE,0.00046,0.0,0.0
M6UPV9TUA6X4Y4PY,0.0015,0.0,0.0
7U7TWP44UP36AT3R,0.00139,0.0,0.0
PM4N82MPX38F6ZRT,0.00278,0.0,0.0
JMG9PCKP6WJMHR2D,0.0015,0.0,0.0
QBRRGYV6GX92SACK,0.00139,0.0,0.0
DV3FSFEQ3QM4J6VP,0.00278,0.0,0.0
AJD4Z5RP3KFKWJ7F,0.0905,0.0,0.0
C3XQJFKSUZT2PD9A,0.0015,0.0,0.0
J5H5J7F2H2NJEZZN,0.00278,0.0,0.0
AXBTXW7M9B4ZCDAD,0.0015,0.0,0.0
RB26P7TCS58REJGZ,0.0015,0.0,0.0
WEFXAJB4PZGJU52S,0.0015,0.0,0.0
PGHRTQ2MHB7BAVBB,0.0015,0.0,0.0
GSGU2P6D8FBCYQ3H,0.0015,0.0,0.0
WQ8X428F2YDYTBNK,0.0025,0.0,0.0
88Y5YW3YHNX6KV9B,0.0015,0.0,0.0
XCVN4HZD9XZ33XW8,0.00278,0.0,0.0
B3HHCDR937A3N4N7,0.0015,0.0,0.0
2UAZJCR6JA87WPKD,0.0015,0.0,0.0
HFPWX77UMDK3HNJB,0.0015,0.0,0.0
SQ937YQXQF93XEJH,0.0015,0.0,0.0
UNXYSPGQA8YBEYFB,0.0015,0.0,0.0
6YY49B83Q5DPZZAP,0.21889,0.0,0.0
7CTB69P5Y6AD2R84,0.00171,0.0,0.0
GPK8FNP26V3X6RE6,0.0015,0.0,0.0
9DSVXS3R5ZSKJR3S,0.0015,0.0,0.0
5K5NRY4NQBUFZW5E,0.0015,0.0,0.0
PBZNQUSEXZUC34C9,6e-05,0.0,0.0
NW4B786HNAH6HZ7R,0.0015,0.0,0.0
JG3KUJMBRGHV3N8G,0.00171,0.0,0.0
U7M39C97M5XGPWHJ,0.059,0.0,0.0
6ZNK2Z79AEEBFV3M,0.0015,0.0,0.0
VPJKTDPXPZV4STFZ,0.0015,0.0,0.0
RB9QQRXZVAXP3ZJ4,0.0015,0.0,0.0
2K2HTT68FEQ8VPRY,0.0015,0.0,0.0
R8J9R36T5NNX55GQ,0.0015,0.0,0.0
TQKPP6DXDXTUAD9Z,0.0015,0.0,0.0
2MPE87BBEWCYUP33,0.0015,0.0,0.0
B8PVNVB3Q27ZPK3D,0.0015,0.0,0.0
PHGREBPW3547V5TW,0.0015,0.0,0.0
SNQRCR76WDGRE9BT,0.00214,0.0,0.0
7BTSEVDN4RFC6X5Q,0.0015,0.0,0.0
QCEB9VVM7KNHAS7P,0.0015,0.0,0.0
RQN8Z66738ZRX354,0.0015,0.0,0.0
KUFCSZJSWSRCFKY8,0.0015,0.0,0.0
367Q8US3WERB8DHX,0.0015,0.0,0.0
5BRSUNWKD2HBWTND,0.0015,0.0,0.0
MTH44VNWR5NNV7DR,0.0015,0.0,0.0
UCCWZ9CU8EETPMW6,0.0015,0.0,0.0
9JJ3KM2XH84XZP59,0.0015,0.0,0.0
DPCWVHKZ3AJBNM43,0.00611,0.0,0.0
H6CM7XJ9ZZ2JD2NZ,0.0015,0.0,0.0
MRHU5FT3VGFQ6QZH,0.0015,0.0,0.0
J5F97VTUKDBTW8X5,0.0015,0.0,0.0
M6UGCCQ3CDJQAA37,0.00171,0.0,0.0
F3TTC8K7TVW5QUQX,0.00171,0.0,0.0
33Y5KYZ4JQEF6J66,0.0015,0.0,0.0
GSQJMJPK4SFYF63H,0.0015,0.0,0.0
BJKH3VYGVEEXSNAH,0.0015,0.0,0.0
YQHTRZZKTT737SRB,0.00093,0.0,0.0
GJDDYRCUFGU7BA7D,0.0015,0.0,0.0
S7MQ8JWKVQD58BZQ,0.0015,0.0,0.0
93DY9HWWFRCUFEBC,0.005,0.0,0.0
