# Aqueduct 4.0 baseline water stress (bws, total weight)
# https://www.wri.org/data/aqueduct-global-maps-40-data
# cat: 0=Low, 1=Low-Medium, 2=Medium-High, 3=High, 4=Extremely High
provider,region,water_stress_cat
aws,af-south-1,4
aws,ap-east-1,2
aws,ap-northeast-1,2
aws,ap-northeast-2,2
aws,ap-northeast-3,1
aws,ap-south-1,4
aws,ap-south-2,3
aws,ap-southeast-2,3
aws,ap-southeast-3,2
aws,ap-southeast-4,3
aws,ap-southeast-5,0
aws,ap-southeast-6,0
aws,ap-southeast-7,3
aws,ca-central-1,1
aws,ca-west-1,2
aws,cn-north-1,2
aws,cn-northwest-1,2
aws,eu-central-1,2
aws,eu-central-2,0
aws,eu-north-1,0
aws,eu-south-1,1
aws,eu-south-2,3
aws,eu-west-1,0
aws,eu-west-2,1
aws,eu-west-3,1
aws,il-central-1,4
aws,me-central-1,4
aws,mx-central-1,3
aws,sa-east-1,1
aws,us-east-1,2
aws,us-east-2,1
aws,us-gov-east-1,1
aws,us-gov-west-1,1
aws,us-west-1,4
aws,us-west-2,1
azure,australiacentral,2
azure,australiacentral2,2
azure,australiaeast,3
azure,australiasoutheast,3
azure,austriaeast,0
azure,belgiumcentral,4
azure,brazilsouth,1
azure,brazilsoutheast,0
azure,canadacentral,1
azure,canadaeast,1
azure,centralindia,4
azure,centralus,1
azure,chilecentral,4
azure,chinaeast,3
azure,chinaeast2,3
azure,chinaeast3,2
azure,chinanorth,2
azure,chinanorth2,2
azure,chinanorth3,4
azure,denmarkeast,0
azure,eastasia,2
azure,eastus,2
azure,eastus2,2
azure,eastus3,2
azure,finlandcentral,0
azure,francecentral,1
azure,francesouth,1
azure,germanynorth,2
azure,germanywestcentral,2
azure,greececentral,4
azure,indiasouthcentral,3
azure,indonesiacentral,2
azure,israelcentral,4
azure,italynorth,1
azure,japaneast,2
azure,japanwest,1
azure,koreacentral,2
azure,koreasouth,2
azure,malaysiawest,0
azure,mexicocentral,3
azure,newzealandnorth,0
azure,northcentralus,2
azure,northeurope,0
azure,norwayeast,0
azure,norwaywest,0
azure,polandcentral,1
azure,qatarcentral,4
azure,saudiarabiasouthcentral,4
azure,southafricanorth,4
azure,southafricawest,4
azure,southcentralus,3
azure,southindia,4
azure,spaincentral,4
azure,swedencentral,0
azure,swedensouth,0
azure,switzerlandnorth,0
azure,switzerlandwest,0
azure,uaecentral,4
azure,uaenorth,4
azure,uksouth,1
azure,ukwest,1
azure,usdodeast,2
azure,usdodwest,1
azure,usgovarizona,4
azure,usgovtexas,3
azure,usgovvirginia,0
azure,usseceast,2
azure,ussecwest,4
azure,westcentralus,3
azure,westeurope,0
azure,westindia,4
azure,westus,4
azure,westus2,1
azure,westus3,4
gcp,africa-south1,4
gcp,asia-east2,2
gcp,asia-northeast1,2
gcp,asia-northeast2,1
gcp,asia-northeast3,2
gcp,asia-south1,4
gcp,asia-south2,4
gcp,asia-southeast2,2
gcp,asia-southeast3,3
gcp,australia-southeast1,3
gcp,australia-southeast2,3
gcp,europe-central2,1
gcp,europe-north1,0
gcp,europe-north2,0
gcp,europe-southwest1,4
gcp,europe-west1,4
gcp,europe-west10,2
gcp,europe-west12,2
gcp,europe-west2,1
gcp,europe-west3,2
gcp,europe-west4,1
gcp,europe-west6,0
gcp,europe-west8,1
gcp,europe-west9,1
gcp,me-central1,4
gcp,me-central2,4
gcp,me-west1,4
gcp,northamerica-northeast1,1
gcp,northamerica-northeast2,1
gcp,northamerica-south1,3
gcp,southamerica-east1,1
gcp,southamerica-west1,4
gcp,us-central1,4
gcp,us-east1,2
gcp,us-east4,2
gcp,us-east5,1
gcp,us-south1,3
gcp,us-west1,1
gcp,us-west2,4
gcp,us-west3,3
gcp,us-west4,3
