# WRI water consumption factors (WCF) in l/kWh
# Source: https://files.wri.org/d8/s3fs-public/guidance-calculating-water-use-embedded-purchased-electricity-appendices-1-to-7.xlsx
# US regions mapped via eGRID subregion; others by country
provider,region,wcf
aws,ap-east-1,6.006471
aws,ap-east-2,1.488631
aws,ap-northeast-1,2.306355
aws,ap-northeast-2,1.887679
aws,ap-northeast-3,2.306355
aws,ap-south-1,3.436844
aws,ap-south-2,3.436844
aws,ap-southeast-2,4.729311
aws,ap-southeast-3,2.255367
aws,ap-southeast-4,4.729311
aws,ap-southeast-5,1.677809
aws,ap-southeast-6,14.968107
aws,ap-southeast-7,2.890221
aws,ca-central-1,8.166262
aws,ca-west-1,8.166262
aws,cn-north-1,6.006471
aws,cn-northwest-1,6.006471
aws,eu-central-1,1.946974
aws,eu-central-2,5.664157
aws,eu-north-1,6.031510
aws,eu-south-1,4.837408
aws,eu-south-2,6.208784
aws,eu-west-1,1.476930
aws,eu-west-2,2.329000
aws,eu-west-3,3.673696
aws,mx-central-1,5.304728
aws,sa-east-1,18.603389
aws,us-east-1,2.312704
aws,us-east-2,2.219776
aws,us-gov-east-1,2.219776
aws,us-gov-west-1,9.482460
aws,us-west-1,5.189329
aws,us-west-2,9.482460
azure,australiacentral,4.729311
azure,australiacentral2,4.729311
azure,australiaeast,4.729311
azure,australiasoutheast,4.729311
azure,austriaeast,5.722182
azure,belgiumcentral,2.619840
azure,brazilsouth,18.603389
azure,brazilsoutheast,18.603389
azure,canadacentral,8.166262
azure,canadaeast,8.166262
azure,centralindia,3.436844
azure,centralus,3.101684
azure,chilecentral,10.522585
azure,chinaeast,6.006471
azure,chinaeast2,6.006471
azure,chinaeast3,6.006471
azure,chinanorth,6.006471
azure,chinanorth2,6.006471
azure,chinanorth3,6.006471
azure,denmarkeast,3.193482
azure,eastasia,6.006471
azure,eastus,2.312704
azure,eastus2,2.366638
azure,eastus3,2.294556
azure,finlandcentral,4.528930
azure,francecentral,3.673696
azure,francesouth,3.673696
azure,germanynorth,1.946974
azure,germanywestcentral,1.946974
azure,greececentral,5.145123
azure,indiasouthcentral,3.436844
azure,indonesiacentral,2.255367
azure,italynorth,4.837408
azure,japaneast,2.306355
azure,japanwest,2.306355
azure,koreacentral,1.887679
azure,koreasouth,1.887679
azure,malaysiawest,1.677809
azure,mexicocentral,5.304728
azure,newzealandnorth,14.968107
azure,northcentralus,2.219776
azure,northeurope,1.476930
azure,norwayeast,6.663363
azure,norwaywest,6.663363
azure,polandcentral,2.513474
azure,southcentralus,1.269599
azure,southindia,3.436844
azure,spaincentral,6.208784
azure,swedencentral,6.031510
azure,swedensouth,6.031510
azure,switzerlandnorth,5.664157
azure,switzerlandwest,5.664157
azure,taiwannorth,1.488631
azure,uksouth,2.329000
azure,ukwest,2.329000
azure,usdodeast,2.366638
azure,usdodwest,3.101684
azure,usgovarizona,4.965618
azure,usgovtexas,1.269599
azure,usgovvirginia,2.312704
azure,usseceast,2.366638
azure,ussecwest,5.189329
azure,westcentralus,2.578146
azure,westeurope,3.433040
azure,westindia,3.436844
azure,westus,5.189329
azure,westus2,9.482460
azure,westus3,4.965618
gcp,asia-east1,1.488631
gcp,asia-east2,6.006471
gcp,asia-northeast1,2.306355
gcp,asia-northeast2,2.306355
gcp,asia-northeast3,1.887679
gcp,asia-south1,3.436844
gcp,asia-south2,3.436844
gcp,asia-southeast2,2.255367
gcp,asia-southeast3,2.890221
gcp,australia-southeast1,4.729311
gcp,australia-southeast2,4.729311
gcp,europe-central2,2.513474
gcp,europe-north1,4.528930
gcp,europe-north2,6.031510
gcp,europe-southwest1,6.208784
gcp,europe-west1,2.619840
gcp,europe-west10,1.946974
gcp,europe-west12,4.837408
gcp,europe-west2,2.329000
gcp,europe-west3,1.946974
gcp,europe-west4,3.433040
gcp,europe-west6,5.664157
gcp,europe-west8,4.837408
gcp,europe-west9,3.673696
gcp,northamerica-northeast1,8.166262
gcp,northamerica-northeast2,8.166262
gcp,northamerica-south1,5.304728
gcp,southamerica-east1,18.603389
gcp,southamerica-west1,10.522585
gcp,us-central1,3.101684
gcp,us-east1,2.294556
gcp,us-east4,2.312704
gcp,us-east5,2.219776
gcp,us-south1,1.269599
gcp,us-west1,9.482460
gcp,us-west2,5.189329
gcp,us-west3,2.578146
gcp,us-west4,4.965618
